,id,name,popularity,type,is_local,explicit,duration_ms,disc_number,track_number,artist_id,artist_name,album_artist_id,album_artist_name,album_id,album_name,album_release_date,album_tracks,album_type
503,6RrXd9Hph4hYR4bf3dbM6H,My Girl,0,track,False,False,165000,1,3,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,3RwQ26hR2tJtA8F9p2n7jG,The Temptations,5H2rffw6MNKGWVKBNWNA4S,The Temptations Sing Smokey,1965-01-01,12,album
504,5grpSBbXPJCyqWuxoMuKY7,Never Know,0,track,False,True,249680,1,1,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
505,3KQwLKRDpTCQQeGJeb7H8A,Rules,0,track,False,True,211866,1,2,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
506,0DRJUYCorvVMEHa5dAyg0R,PRBLMS,0,track,False,True,246773,1,3,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
507,2LvJuRmrVZFBS2fCLEUGvX,Free,0,track,False,True,263013,1,4,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
508,7M7LSG92MOofhhUiJw6sRv,Learn Ya,0,track,False,True,215680,1,5,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
509,4OhMnyW0YclBsHv879ecRS,MTFU,0,track,False,True,208320,1,6,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
510,64aP4hAjIPwjWiBTZCHJbK,Luving U,0,track,False,True,252893,1,7,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
511,1FxLdpOrT2VtfF8kb20Swn,Gettin' Old,0,track,False,True,215000,1,8,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
512,1kNxKZBdLM8YiysWgip2FL,Worst Luck,0,track,False,True,206133,1,9,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
513,39Do25PdLaSd8XPewzM35n,Ex Calling,0,track,False,True,211960,1,10,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
514,34rCczE03UWNKRJ9HIrw1E,Alone / EA6,0,track,False,True,553853,1,11,4IVAbR2w4JJNJDDRFP3E83,6LACK,4IVAbR2w4JJNJDDRFP3E83,6LACK,43wDrqtbTZnUibro4VteOq,FREE 6LACK,2016-11-18,14,album
515,6ltPEsP4edATzvinHOzvk2,Still D.R.E.,0,track,False,True,268004,1,4,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,5csXMdS69VOvh8MjyfwkjB,2001 (Explicit Version),1999-11-16,22,album
516,1bhUWB0zJMIKr9yVPrkEuI,Perfect Duet (Ed Sheeran & Beyoncé),83,track,False,False,259550,1,1,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,52kvZcbEDm0v2kWZQXjuuA,Perfect Duet (Ed Sheeran & Beyoncé),2017-11-30,1,album
517,2DpJ9T2RVRanZcYFHKOAfA,Put Your Head On My Shoulder,72,track,False,False,154733,1,5,7ceUfdWq2t5nbatS6ollHh,Paul Anka,7ceUfdWq2t5nbatS6ollHh,Paul Anka,75zBkbUSaFzpyPa1mBDjON,Put Your Head On My Shoulder: The Very Best Of Paul Anka,2000-10-03,22,album
518,39qYD4J4BKvZMQgxfXl5bv,Eye In The Sky,73,track,False,False,276280,1,2,2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,2m62cc253Xvd9qYQ8d2X3d,The Alan Parsons Project,4BGd9BmpePqeSfHLeYiCDr,Eye In The Sky (Expanded Edition),1982,16,album
519,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,86,track,False,False,258986,1,6,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,1xn54DMo2qIqBuMqHtUsFd,x (Deluxe Edition),2014-06-21,16,album
520,5NZOC9tSMySvo1KbiMB7nI,Vasame - Live,15,track,False,False,254880,1,6,1bWN8V5u6TI7mPm48mUNge,Peppe Barra,1bWN8V5u6TI7mPm48mUNge,Peppe Barra,4CKTXe2cBzLi16MfK6GMWH,E cammina cammina (Live),2016-06-21,13,album
521,0NkRoAEwe5gmoX7Ps8pCa7,Alta marea (Don't Dream It's Over),36,track,False,False,316546,1,11,3hYLJPJuDyblFKersEaFd6,Antonello Venditti,3hYLJPJuDyblFKersEaFd6,Antonello Venditti,5MHO15wZxm98p6BF4uAO5V,TuttoVenditti,2012-11-06,45,album
522,6aLJ6bSpt3TN46raZ6QIx9,Is It Me,0,track,False,False,209586,1,10,1GLtl8uqKmnyCWxHmw9tL4,The Kooks,1GLtl8uqKmnyCWxHmw9tL4,The Kooks,0Yjqw4H8s9AL2dn6NzZwHj,The Best Of... So Far,2017-05-19,19,album
523,1MHJZhEo79mKEK349W188E,Amici mai,50,track,False,False,315786,1,4,3hYLJPJuDyblFKersEaFd6,Antonello Venditti,3hYLJPJuDyblFKersEaFd6,Antonello Venditti,7oRQKOgL5wWXBa0uOo39ny,Le Donne,2009-02-12,32,album
524,7rl7TNsfJiJJ3BY47peVSm,A un passo da te,57,track,False,False,271360,1,5,2RaKpBVCLrHguQqQDcahYB,MINACELENTANO,2RaKpBVCLrHguQqQDcahYB,MINACELENTANO,3cM7T0i0rugsc4t8VsCb2B,Le migliori,2016-11-11,12,album
525,0JnhdRuZseKT0uE9JFIIsH,Per dimenticare,0,track,False,False,214726,1,1,3bf7Y2it29DeOjXpIibCOe,Zero Assoluto,3bf7Y2it29DeOjXpIibCOe,Zero Assoluto,5oiVSw1XKSwkd83N7cfSsr,Per dimenticare,2014-09-25,1,album
526,6qSLE545EdsduGpyFVuA3n,Parlami d'amore,0,track,False,False,199866,1,3,1X9iZlQXfAAx4Vvmlqeao7,Negramaro,1X9iZlQXfAAx4Vvmlqeao7,Negramaro,5VK4SLzsR8NV5jdE39bzBk,La Finestra (Deluxe Edition),2007-06-08,16,album
